date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),site number,site name
24/10/21,94.09,160.87,8.94,7.65,25.86,37.86,3.72,0.68,24.21,3.65,43.67,2.22,,2.43,2.78,22.16,78.65,0.77,145.56,,0.0,226.83,,,5344,Teri Gram
24/10/21,32.09,123.5,3.99,2.02,10.05,20.96,3.15,0.51,52.28,,,,,,3.94,23.99,71.91,0.87,,0.17,16.0,59.54,,,5345,Sector-51
25/10/21,23.71,,6.37,34.61,20.3,,4.96,2.18,35.02,2.98,3.98,0.99,,1.0,1.0,,76.89,0.56,207.55,0.0,0.0,93.73,727.66,-0.05,146,Vikas Sadan
25/10/21,37.48,62.21,5.77,16.27,22.04,,,0.78,39.11,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
25/10/21,50.32,87.14,9.7,8.2,27.54,39.49,3.45,0.64,22.89,3.39,40.36,2.43,,2.44,2.33,20.82,82.41,0.63,192.65,,0.0,269.05,,,5344,Teri Gram
25/10/21,30.36,70.05,3.91,2.02,10.08,21.01,3.42,0.5,40.52,,,,,,3.88,22.21,80.24,0.79,,0.0,0.0,53.64,,,5345,Sector-51
26/10/21,19.68,,36.34,52.38,54.09,,6.27,2.26,17.76,3.0,3.97,1.0,,1.0,1.0,,73.5,0.61,231.22,0.0,0.0,130.46,723.09,-0.06,146,Vikas Sadan
26/10/21,69.47,127.29,7.09,18.02,25.11,,,0.88,37.57,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
26/10/21,63.21,123.71,10.95,9.34,28.82,45.25,3.05,0.78,27.33,2.65,36.28,5.04,,2.2,2.08,20.18,78.22,0.61,183.47,,0.0,431.75,,,5344,Teri Gram
26/10/21,81.34,225.44,5.51,3.53,12.48,22.94,39.88,0.96,38.54,,,,,,19.69,21.83,74.43,0.67,,0.0,0.0,51.33,,,5345,Sector-51
27/10/21,22.43,,37.03,57.55,57.35,,5.18,2.28,18.33,3.0,3.99,1.0,,1.0,1.0,,71.15,0.59,221.72,0.0,0.0,96.66,723.46,-0.07,146,Vikas Sadan
27/10/21,94.52,188.73,9.29,22.96,32.25,,,1.03,45.89,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
27/10/21,67.38,123.16,9.46,9.8,27.57,51.95,2.82,0.8,33.86,2.73,35.26,1.73,,2.51,2.55,20.26,71.89,0.53,221.53,,0.0,390.73,,,5344,Teri Gram
27/10/21,86.2,222.35,6.89,4.99,14.93,24.96,20.47,1.11,38.99,,,,,,19.49,21.95,66.48,0.67,,0.0,0.0,51.09,,,5345,Sector-51
28/10/21,67.14,,34.39,60.01,56.58,,7.48,2.33,27.65,2.99,4.01,1.0,,1.01,1.0,,71.62,0.68,212.96,0.0,0.0,129.61,723.7,-0.07,146,Vikas Sadan
28/10/21,121.25,198.43,6.38,20.02,26.39,,,1.0,44.59,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
28/10/21,79.0,137.45,11.67,9.61,28.8,54.72,2.01,0.64,34.35,3.14,32.26,2.35,,3.05,2.85,19.69,75.38,0.65,155.14,,0.0,406.41,,,5344,Teri Gram
28/10/21,123.9,291.32,5.63,5.99,12.67,25.95,7.42,1.43,32.39,,,,,,4.0,20.92,69.97,0.59,,0.0,0.0,47.92,,,5345,Sector-51
29/10/21,127.58,,36.38,74.77,65.28,,6.31,2.32,60.22,3.0,4.01,1.0,,0.99,1.0,,60.44,0.62,187.78,0.0,0.0,111.97,725.34,-0.07,146,Vikas Sadan
29/10/21,109.87,180.01,8.58,22.99,31.57,,,1.12,40.85,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
29/10/21,104.04,192.87,11.68,9.32,31.16,44.08,2.32,0.86,34.59,2.0,30.69,2.87,,3.0,3.17,19.93,77.06,0.58,131.37,,0.0,393.21,,,5344,Teri Gram
29/10/21,134.63,282.79,3.01,8.07,9.97,28.03,4.72,1.83,29.71,,,,,,5.74,22.27,60.64,0.6,,0.04,4.0,48.5,,,5345,Sector-51
30/10/21,126.56,,24.06,58.78,47.2,,6.83,1.25,31.8,2.99,3.99,1.0,,1.0,1.0,,60.41,0.66,209.19,0.0,0.0,98.51,724.66,-0.07,146,Vikas Sadan
30/10/21,113.27,203.73,18.42,33.79,41.41,,,1.2,32.34,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
30/10/21,133.9,296.47,12.78,10.11,29.55,52.32,1.75,0.89,27.01,2.86,34.99,3.17,,6.64,2.74,20.86,63.76,0.58,231.73,,0.0,386.17,,,5344,Teri Gram
30/10/21,124.44,242.78,3.0,7.98,10.01,27.94,2.88,1.54,20.78,,,,,,5.59,22.37,54.07,0.71,,0.0,0.0,46.73,,,5345,Sector-51
31/10/21,127.42,,60.34,57.98,75.66,,10.71,1.38,55.5,2.99,4.0,1.0,,1.0,1.0,,61.41,0.62,207.3,0.0,0.0,97.86,721.18,-0.08,146,Vikas Sadan
31/10/21,98.4,192.83,13.1,25.47,33.36,,,1.03,39.65,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
31/10/21,149.42,322.23,13.85,10.32,32.55,66.66,0.77,0.84,22.58,3.84,33.54,3.33,,4.32,2.11,20.75,67.6,0.69,186.09,,0.0,,,,5344,Teri Gram
31/10/21,131.49,298.09,2.98,8.03,10.09,27.99,3.05,1.44,25.06,,,,,,4.77,22.51,56.95,0.64,,0.0,0.0,44.88,,,5345,Sector-51
01/11/21,102.39,,6.93,29.24,20.85,,10.75,0.86,26.83,1.99,6.0,3.78,,3.0,4.0,,88.8,0.78,244.14,,0.0,80.53,,-0.04,146,Vikas Sadan
01/11/21,95.48,142.15,6.76,19.56,26.33,,,2.82,34.7,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
01/11/21,86.5,109.55,4.62,17.25,12.72,34.14,4.11,0.8,12.53,1.17,65.14,2.27,,2.56,3.77,10.8,86.75,0.71,274.42,,0.0,360.01,,,5344,Teri Gram
01/11/21,75.97,123.91,14.81,11.78,37.52,25.68,0.95,0.68,23.61,5.5,43.38,3.36,,1.79,4.61,10.65,93.24,1.06,272.82,0.0,0.0,38.21,,,5345,Sector-51
02/11/21,160.33,,24.58,53.53,47.69,,10.8,2.08,16.79,1.71,3.22,1.28,,1.73,1.71,,78.51,0.69,226.5,0.0,0.0,121.56,923.29,-0.08,146,Vikas Sadan
02/11/21,134.33,239.65,9.07,17.02,26.1,,,0.97,37.19,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
02/11/21,143.73,220.78,35.86,30.09,65.96,44.42,2.07,1.66,39.58,8.64,73.46,6.86,,8.37,11.92,16.48,75.67,0.65,166.07,,0.0,345.64,,,5344,Teri Gram
02/11/21,213.61,310.75,7.24,14.6,3.91,11.87,1.9,0.66,25.88,13.51,103.56,7.88,,13.59,15.49,18.09,76.87,0.71,271.42,0.0,0.0,54.12,,,5345,Sector-51
03/11/21,112.34,,36.66,45.32,53.13,,15.03,0.68,47.67,5.96,10.0,4.94,,4.99,10.01,,55.73,0.61,198.66,0.0,0.0,183.1,920.1,-0.04,146,Vikas Sadan
03/11/21,92.8,185.93,7.81,14.16,21.98,,,0.81,42.17,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
03/11/21,138.63,171.98,14.05,13.71,18.43,51.33,1.89,0.98,30.38,6.29,105.61,7.62,,7.87,12.51,24.19,60.19,0.9,130.42,,0.0,412.48,,,5344,Teri Gram
03/11/21,147.75,393.94,2.74,8.6,15.02,19.0,2.1,0.98,20.03,11.5,158.89,9.49,,14.27,17.17,26.23,67.72,0.45,221.77,0.0,0.0,112.36,,,5345,Sector-51
04/11/21,72.25,,25.74,40.59,41.84,,21.77,0.93,12.95,10.02,16.93,9.01,,10.01,14.98,,16.82,0.71,215.42,0.0,0.0,221.43,920.83,-0.05,146,Vikas Sadan
04/11/21,41.38,144.93,4.62,6.19,10.81,,,0.53,50.07,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
04/11/21,68.68,156.15,8.58,13.7,14.04,46.02,4.69,0.82,28.95,5.61,107.42,6.65,,7.58,11.26,28.04,22.66,0.88,186.44,,0.0,442.94,,,5344,Teri Gram
04/11/21,98.75,252.69,2.97,8.96,5.99,39.97,3.64,0.74,34.6,6.88,86.35,3.86,,4.99,10.06,33.3,9.15,0.68,267.19,0.0,0.0,164.69,,,5345,Sector-51
05/11/21,47.96,,3.69,15.43,11.03,,12.48,0.13,58.83,9.96,16.99,7.51,,9.94,15.03,,31.38,0.59,204.81,0.0,0.0,275.43,865.03,-0.01,146,Vikas Sadan
05/11/21,42.76,93.27,5.16,6.71,11.87,,,0.23,61.53,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
05/11/21,50.13,91.81,2.28,6.94,6.99,37.29,1.5,0.64,28.47,5.95,80.22,4.03,,3.15,5.8,30.66,43.12,0.75,190.75,,0.0,385.47,,,5344,Teri Gram
05/11/21,87.48,167.59,6.99,15.02,5.0,24.99,1.99,0.47,31.92,7.78,63.42,3.08,,4.58,5.65,31.72,36.92,0.61,230.82,0.0,0.0,189.9,,,5345,Sector-51
06/11/21,54.42,,2.99,24.39,14.91,,12.53,0.59,39.87,9.04,13.01,3.26,,3.99,4.27,,60.29,1.05,155.25,0.0,0.1,206.58,783.75,0.03,146,Vikas Sadan
06/11/21,34.57,196.92,22.44,11.15,23.62,,,0.4,71.47,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
06/11/21,55.1,128.65,9.01,12.0,10.07,14.01,4.58,0.47,15.32,2.89,67.27,2.65,,1.54,3.99,31.44,61.0,1.09,125.06,,0.0,306.22,,,5344,Teri Gram
06/11/21,53.03,231.78,3.64,7.09,4.22,39.79,1.99,0.4,70.03,3.28,28.49,2.58,,5.67,3.42,31.86,65.9,0.52,191.58,0.0,0.0,173.15,,,5345,Sector-51
07/11/21,41.82,,4.92,7.57,7.9,,7.42,0.44,60.16,6.28,12.91,3.23,,4.0,4.26,,61.72,2.03,110.1,0.0,0.0,126.94,792.0,0.2,146,Vikas Sadan
07/11/21,42.29,66.73,5.37,11.88,17.24,,,0.39,53.33,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
07/11/21,52.43,88.61,8.01,10.01,22.02,30.01,2.07,0.44,19.47,2.43,50.17,1.65,,1.02,2.26,32.01,66.4,2.07,107.77,,0.0,299.41,,,5344,Teri Gram
07/11/21,67.51,186.4,6.82,3.03,5.65,79.27,2.1,0.39,38.08,5.66,68.39,5.29,,8.42,3.84,33.01,70.65,0.61,98.64,0.0,0.0,200.77,,,5345,Sector-51
08/11/21,32.24,,5.95,15.82,13.01,,8.67,0.49,4.68,1.8,3.89,1.31,,0.75,0.99,,72.68,0.7,257.53,0.0,0.0,250.81,792.0,-0.01,146,Vikas Sadan
08/11/21,,,,,,,,,,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
08/11/21,42.06,156.42,6.09,15.01,31.99,39.0,2.84,0.47,23.69,5.2,36.99,7.21,,4.66,3.66,31.77,61.63,1.24,253.17,,0.0,510.26,,,5344,Teri Gram
08/11/21,44.46,78.44,9.64,7.93,10.96,67.19,2.84,0.76,13.05,3.85,13.54,1.94,,4.82,3.89,31.98,67.33,0.36,152.02,0.0,0.0,168.97,,,5345,Sector-51
09/11/21,13.95,,5.11,28.03,18.64,,8.08,0.53,12.77,3.33,5.9,1.58,,3.26,2.31,,95.9,1.0,104.36,0.39,35.4,57.85,713.97,0.01,146,Vikas Sadan
09/11/21,11.19,8.12,39.78,24.61,26.54,,,0.47,25.77,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
09/11/21,28.24,37.36,5.23,11.21,17.31,38.22,1.31,0.43,27.12,2.53,75.52,4.75,,3.88,3.91,24.36,98.58,1.22,77.6,,0.0,48.17,,,5344,Teri Gram
09/11/21,31.13,45.93,3.86,1.26,3.13,12.77,2.99,1.13,20.93,,,,,,1.04,25.22,99.13,0.78,,0.54,51.5,213.31,,,5345,Sector-51
10/11/21,99.63,,65.93,72.15,91.22,,8.13,1.87,24.91,2.91,4.02,1.0,,1.0,1.0,,56.14,0.68,174.39,0.0,0.0,147.49,712.35,-0.07,146,Vikas Sadan
10/11/21,51.6,110.6,7.03,16.38,23.4,,,0.89,32.7,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
10/11/21,57.21,107.91,10.49,8.63,27.11,35.82,1.43,0.34,24.27,2.71,16.45,1.86,,1.99,2.5,24.91,76.13,0.6,144.54,,0.0,455.95,,,5344,Teri Gram
10/11/21,106.45,324.98,6.22,7.63,14.68,25.16,1.92,0.95,21.77,,,,,,10.72,29.83,56.02,0.6,,0.0,0.0,65.74,,,5345,Sector-51
11/11/21,267.63,,104.89,81.02,126.93,,24.6,3.17,12.96,3.0,4.03,1.01,,1.0,1.0,,74.84,0.55,194.21,0.0,0.0,113.65,724.41,-0.09,146,Vikas Sadan
11/11/21,253.99,366.56,7.87,31.35,39.22,,,1.68,16.9,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
11/11/21,211.8,346.96,6.34,16.3,4.55,25.32,3.96,1.83,26.86,3.18,4.21,1.97,,1.89,1.84,25.78,41.31,0.61,108.55,,0.0,301.22,,,5344,Teri Gram
11/11/21,259.83,473.86,1.99,10.0,3.99,17.96,7.76,3.97,12.22,,,,,,45.37,19.44,79.78,0.49,,0.0,0.0,35.73,,,5345,Sector-51
12/11/21,92.92,,60.87,73.79,77.9,,12.23,2.19,42.23,3.94,2.98,2.0,,2.0,3.01,,67.99,0.63,203.7,0.0,0.0,72.07,722.95,-0.08,146,Vikas Sadan
12/11/21,90.62,151.88,6.93,23.26,30.19,,,0.97,19.88,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
12/11/21,101.03,195.98,6.98,20.63,6.45,48.44,1.21,0.62,38.99,6.3,32.83,2.85,,3.5,5.73,13.37,73.6,0.7,166.76,,0.0,367.29,,,5344,Teri Gram
12/11/21,128.47,218.78,16.11,25.92,5.99,35.88,1.94,1.59,30.9,,,,,,3.14,15.31,65.13,0.56,,0.0,0.0,30.3,,,5345,Sector-51
13/11/21,254.5,,79.14,67.51,99.26,,22.32,1.75,33.0,3.01,4.04,1.0,,1.0,1.0,,70.13,0.52,198.43,0.0,0.0,59.81,722.67,-0.09,146,Vikas Sadan
13/11/21,258.08,366.17,9.1,30.67,39.77,,,1.59,37.51,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
13/11/21,246.53,384.69,6.33,16.35,4.53,25.34,3.92,1.85,28.36,3.2,4.24,2.01,,1.94,1.87,19.32,61.14,0.51,141.74,,0.0,298.51,,,5344,Teri Gram
13/11/21,242.34,437.44,2.0,9.98,4.0,18.04,4.68,2.99,35.83,,,,,,9.0,19.52,63.41,0.6,,0.0,0.0,53.39,,,5345,Sector-51
14/11/21,154.48,,90.95,71.29,110.68,,23.91,1.48,28.71,3.01,3.99,1.0,,1.01,1.0,,66.56,0.59,191.02,0.0,0.0,101.6,720.44,-0.09,146,Vikas Sadan
14/11/21,138.46,218.74,8.35,26.27,34.61,,,1.1,42.56,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
14/11/21,128.38,233.9,6.34,16.36,4.52,25.34,3.71,1.85,28.94,3.22,4.23,1.98,,1.96,1.87,16.5,73.49,0.55,146.95,,0.0,296.83,,,5344,Teri Gram
14/11/21,170.28,366.47,2.75,11.49,5.43,20.18,5.18,2.72,41.18,,,,,,8.79,18.8,58.51,0.54,,0.0,0.0,43.76,,,5345,Sector-51
15/11/21,193.12,,63.03,68.68,87.9,,24.68,1.78,41.84,2.99,3.99,1.0,,1.01,1.0,,70.22,0.53,188.77,0.0,0.0,96.87,721.22,-0.09,146,Vikas Sadan
15/11/21,174.32,267.23,10.07,30.9,40.97,,,1.41,40.5,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
15/11/21,179.48,303.37,6.34,16.34,4.56,25.35,4.4,1.85,29.2,3.21,4.27,2.0,,1.94,1.88,16.02,76.6,0.54,135.89,,0.0,302.6,,,5344,Teri Gram
15/11/21,206.21,371.91,5.2,15.1,6.72,25.11,6.64,2.76,30.08,,,,,,7.83,18.54,65.33,0.56,,0.0,0.0,39.32,,,5345,Sector-51
16/11/21,198.59,,55.54,68.67,80.99,,29.35,1.55,31.07,3.01,3.99,1.0,,1.0,1.0,,73.47,0.7,196.38,0.0,0.0,63.01,721.39,-0.09,146,Vikas Sadan
16/11/21,207.61,309.15,8.15,30.3,38.45,,,1.43,41.74,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
16/11/21,216.42,364.23,6.34,16.38,4.54,25.37,4.16,1.83,25.31,3.16,4.2,1.98,,1.94,1.86,15.64,76.2,0.6,136.98,,0.0,298.89,,,5344,Teri Gram
16/11/21,198.89,355.4,7.86,17.74,3.95,28.14,4.51,2.08,21.61,,,,,,5.98,17.78,65.14,0.53,,0.0,0.0,25.89,,,5345,Sector-51
17/11/21,162.54,,82.94,91.53,113.38,,28.77,1.68,41.63,2.99,4.02,1.01,,0.99,1.0,,71.62,0.63,160.53,0.0,0.0,97.15,724.6,-0.08,146,Vikas Sadan
17/11/21,150.6,230.55,7.74,25.69,33.43,,,1.25,43.91,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
17/11/21,179.03,282.96,5.82,16.82,3.81,32.08,2.91,1.18,24.1,2.79,3.82,2.15,,3.07,1.39,15.78,78.16,0.68,84.39,,0.0,335.93,,,5344,Teri Gram
17/11/21,231.53,406.55,7.98,18.1,3.89,27.99,3.64,2.63,32.4,,,,,,7.83,18.48,64.55,0.54,,0.0,0.0,36.37,,,5345,Sector-51
18/11/21,198.66,,108.91,111.33,146.43,,28.13,2.16,41.75,3.01,4.01,1.0,,1.0,1.0,,70.86,0.54,161.22,0.0,0.0,101.5,722.35,-0.09,146,Vikas Sadan
18/11/21,151.43,212.85,8.39,24.45,32.9,,,1.35,46.93,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
18/11/21,156.0,246.9,5.08,18.52,3.12,45.9,2.17,0.73,16.01,2.27,2.04,3.39,,4.78,1.93,16.87,75.45,0.63,108.55,,0.0,297.05,,,5344,Teri Gram
18/11/21,166.18,284.21,7.95,16.47,4.41,26.61,3.46,2.47,32.07,,,,,,7.3,19.06,71.47,0.51,,0.0,0.0,34.67,,,5345,Sector-51
19/11/21,200.18,,62.42,90.73,92.67,,18.1,1.53,40.87,3.0,4.0,1.0,,1.0,1.0,,72.75,0.62,187.18,0.0,0.0,100.42,723.45,-0.09,146,Vikas Sadan
19/11/21,142.96,200.96,12.24,23.06,29.76,,,1.2,42.74,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
19/11/21,174.05,274.24,4.42,17.47,2.94,40.19,2.35,0.71,12.25,3.6,11.04,2.86,,4.28,3.11,,,0.57,136.86,,0.0,239.55,,,5344,Teri Gram
19/11/21,194.96,316.93,8.02,13.99,5.01,24.03,3.1,1.95,33.1,,,,,,5.72,19.11,68.4,0.56,,0.0,0.0,39.45,,,5345,Sector-51
20/11/21,207.4,,57.55,93.16,90.04,,23.37,1.54,41.94,3.01,4.03,1.0,,1.0,1.0,,70.15,0.54,181.29,0.0,0.0,73.4,723.7,-0.09,146,Vikas Sadan
20/11/21,192.95,274.34,6.57,25.57,32.14,,,1.35,47.56,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
20/11/21,200.44,327.07,2.74,22.09,4.0,36.2,2.32,0.59,9.92,2.98,27.32,3.56,,4.47,2.86,19.89,64.38,0.56,145.15,,0.0,241.72,,,5344,Teri Gram
20/11/21,201.55,346.86,8.03,13.95,4.92,24.01,3.26,2.32,36.6,,,,,,6.13,19.86,61.31,0.57,,0.0,0.0,27.74,,,5345,Sector-51
21/11/21,193.32,,32.52,62.33,53.9,,17.2,1.05,53.31,3.01,3.97,0.99,,1.0,1.0,,58.19,0.62,219.82,0.0,0.0,90.02,722.16,-0.08,146,Vikas Sadan
21/11/21,179.78,253.59,6.48,25.66,32.14,,,1.34,55.54,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
21/11/21,196.42,324.96,1.45,27.49,3.27,38.93,2.05,0.48,11.01,3.25,28.37,4.11,,4.11,2.67,17.81,65.72,0.6,167.21,,0.0,157.9,,,5344,Teri Gram
21/11/21,170.8,262.37,7.99,14.06,5.02,24.05,2.94,2.25,38.95,,,,,,6.32,19.67,57.12,0.67,,0.0,0.0,33.91,,,5345,Sector-51
22/11/21,146.97,,4.86,35.6,17.75,,17.11,0.88,53.25,2.99,4.0,0.99,,1.0,1.0,,49.9,0.67,265.8,0.0,0.0,107.31,723.14,-0.07,146,Vikas Sadan
22/11/21,123.86,216.7,5.79,17.8,23.59,,,0.94,72.13,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
22/11/21,141.74,286.98,1.45,27.49,3.27,38.93,1.76,0.48,12.02,3.25,28.37,4.11,,4.11,2.67,18.84,46.42,0.54,214.61,,0.0,167.3,,,5344,Teri Gram
22/11/21,146.53,269.28,7.96,14.02,5.01,24.06,2.74,0.86,43.35,,,,,,1.0,19.56,41.05,0.95,,0.0,0.0,39.81,,,5345,Sector-51
23/11/21,114.6,,9.22,63.59,35.9,,4.82,0.86,29.71,2.98,3.99,1.0,,1.0,1.0,,51.23,0.66,198.67,0.0,0.0,101.0,723.23,-0.09,146,Vikas Sadan
23/11/21,119.22,194.23,5.93,20.35,26.28,,,0.94,51.13,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
23/11/21,125.48,252.7,1.51,19.18,4.71,43.06,1.65,0.61,9.9,5.28,26.09,4.77,,3.06,2.67,15.82,64.87,0.72,149.45,,0.0,167.3,,,5344,Teri Gram
23/11/21,231.87,334.24,7.97,14.04,5.05,23.95,2.6,1.68,42.41,,,,,,2.12,18.17,52.19,0.58,,0.0,0.0,34.15,,,5345,Sector-51
24/11/21,136.37,,30.11,85.65,64.16,,9.35,1.34,38.66,2.99,3.97,1.0,,1.0,1.0,,46.0,0.51,144.84,0.0,0.0,114.96,724.34,-0.09,146,Vikas Sadan
24/11/21,134.16,202.06,5.93,17.9,23.83,,,1.05,56.35,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
24/11/21,141.16,242.38,1.65,14.91,5.05,46.87,1.83,0.73,12.87,7.05,26.41,4.19,,2.94,2.92,19.52,56.79,0.73,93.92,,0.0,,,,5344,Teri Gram
24/11/21,180.82,540.37,7.96,14.0,5.01,24.01,3.27,1.95,22.84,,,,,,3.72,18.34,59.28,0.55,,0.0,0.0,31.76,,,5345,Sector-51
25/11/21,190.33,,149.5,112.86,173.92,,14.05,1.8,37.24,3.0,3.98,1.01,,1.0,1.0,,72.44,0.54,162.23,0.0,0.0,78.31,723.75,-0.09,146,Vikas Sadan
25/11/21,180.02,265.94,5.79,16.89,22.68,,,1.21,51.75,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
25/11/21,228.44,338.33,2.96,19.59,3.91,47.15,2.07,0.82,12.61,5.15,34.46,2.78,,5.32,4.72,16.44,78.26,0.72,71.69,,0.0,308.34,,,5344,Teri Gram
25/11/21,218.18,426.01,7.98,13.99,4.99,24.13,2.85,1.83,59.1,,,,,,2.71,19.12,64.22,0.71,,0.0,0.0,33.91,,,5345,Sector-51
26/11/21,235.37,,184.25,131.04,211.24,,11.26,2.55,33.56,2.99,4.0,1.0,,1.0,1.0,,79.19,0.44,169.34,0.0,0.0,80.48,723.51,-0.09,146,Vikas Sadan
26/11/21,208.8,296.15,7.73,27.0,34.72,,,1.65,54.5,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
26/11/21,241.81,353.46,6.35,16.32,2.85,32.34,2.42,0.58,12.9,1.34,32.54,4.53,,5.32,6.21,15.94,80.98,0.57,58.07,,0.0,,,,5344,Teri Gram
26/11/21,269.92,418.36,8.02,14.01,5.03,23.9,3.68,3.46,40.35,,,,,,7.96,18.61,77.7,0.51,,0.0,0.0,32.42,,,5345,Sector-51
27/11/21,237.23,,146.91,96.89,163.49,,15.64,2.16,25.83,3.0,3.99,1.0,,1.0,1.0,,83.43,0.51,168.34,0.0,0.0,39.01,724.15,-0.08,146,Vikas Sadan
27/11/21,165.69,241.24,5.9,17.0,22.9,,,1.22,58.6,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
27/11/21,198.81,303.22,6.03,16.82,3.04,31.45,2.0,0.55,13.34,1.54,33.76,3.83,,5.56,5.48,16.11,80.23,0.78,85.42,,0.0,,,,5344,Teri Gram
27/11/21,175.49,271.38,8.03,13.92,5.02,23.97,2.85,2.14,38.76,,,,,,4.88,18.8,73.32,0.61,,0.0,0.0,33.51,,,5345,Sector-51
28/11/21,199.99,,87.54,72.13,103.02,,8.74,1.85,33.5,3.0,4.01,1.0,,1.0,1.0,,81.62,0.6,171.26,0.0,0.0,81.48,722.91,-0.08,146,Vikas Sadan
28/11/21,219.2,309.85,8.34,21.26,29.59,,,1.66,44.46,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
28/11/21,241.62,356.49,5.23,18.23,3.56,28.97,2.3,0.46,12.0,2.11,37.16,1.87,,6.23,3.43,17.08,84.55,0.73,79.33,,0.0,,,,5344,Teri Gram
28/11/21,246.75,357.49,8.0,13.99,4.99,23.96,2.38,1.94,35.28,,,,,,3.35,19.29,81.05,0.57,,0.0,0.0,30.78,,,5345,Sector-51
29/11/21,196.06,,62.12,65.21,79.06,,5.87,1.35,31.38,3.01,3.99,1.0,,1.0,1.0,,74.33,0.63,228.55,0.0,0.0,80.9,723.48,-0.09,146,Vikas Sadan
29/11/21,203.6,309.38,12.59,34.25,46.84,,,1.98,45.48,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
29/11/21,226.48,378.86,8.75,23.57,5.07,36.87,2.51,0.68,29.62,3.02,34.36,2.39,,5.98,4.78,15.96,77.68,0.61,166.72,,0.0,467.21,,,5344,Teri Gram
29/11/21,237.0,362.85,10.32,17.4,5.84,27.44,3.1,2.5,32.43,,,,,,5.97,18.4,74.06,0.59,,0.0,0.0,29.79,,,5345,Sector-51
30/11/21,142.97,,11.83,44.31,27.89,,3.29,0.92,52.2,2.99,3.97,1.0,,1.0,1.0,,67.47,0.54,219.82,0.0,0.0,118.23,722.0,-0.08,146,Vikas Sadan
30/11/21,162.05,242.39,6.52,23.65,30.17,,,1.22,50.81,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
30/11/21,190.59,315.35,15.52,30.73,4.93,42.58,1.85,0.62,33.31,2.45,24.32,4.96,,4.5,5.08,16.23,74.19,0.63,171.09,,0.0,458.65,,,5344,Teri Gram
30/11/21,209.7,342.7,16.06,26.0,7.95,35.98,3.33,1.97,35.44,,,,,,4.41,17.77,68.07,0.63,,0.0,0.0,32.97,,,5345,Sector-51
01/12/21,124.69,,43.13,42.53,56.77,,12.33,1.31,25.46,2.01,6.0,3.79,,3.0,3.98,,88.15,0.71,219.83,,0.0,101.78,,-0.06,146,Vikas Sadan
01/12/21,125.09,176.6,10.09,19.4,29.49,,,2.4,43.93,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
